,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,27,2091,800.0,8783
1,1,0,4.1,787,1,27,922,800.0,8783
2,1,0,3.8,918,1,22,743,800.0,8783
3,0,0,3.7,88,1,78,2469,300.0,8783
4,0,0,3.8,166,4,27,2119,600.0,8783
5,1,0,3.8,286,4,27,1761,600.0,8783
6,0,0,3.6,8,57,27,2139,800.0,8783
7,1,1,4.6,2556,1,29,2246,600.0,8783
8,1,0,4.0,324,1,19,719,700.0,8783
9,1,0,4.2,504,1,19,744,550.0,8783
10,1,0,4.1,402,1,19,557,500.0,8783
11,1,1,4.2,150,1,19,719,600.0,8783
12,1,1,4.2,164,1,19,615,500.0,8783
13,0,0,4.0,424,1,19,622,450.0,8783
14,1,0,3.8,918,1,22,743,800.0,8783
15,1,0,3.8,90,1,19,557,650.0,8783
16,1,0,3.9,133,1,19,692,800.0,8783
17,1,0,3.8,144,1,19,817,700.0,8783
18,0,0,3.9,93,1,19,713,300.0,8783
19,1,0,3.1,13,1,19,615,400.0,8783
20,1,0,3.0,62,1,19,700,400.0,8783
21,1,0,3.7,180,1,19,759,500.0,8783
22,0,0,3.6,28,1,19,685,900.0,8783
23,1,0,3.6,62,1,81,1491,600.0,8783
24,0,0,3.7,31,1,19,557,300.0,8783
25,0,0,3.2,11,1,19,578,600.0,8783
26,1,0,3.8,75,1,26,771,200.0,8783
27,0,0,3.3,4,1,19,686,500.0,8783
28,0,0,3.3,23,1,19,685,550.0,8783
29,0,0,3.8,148,4,29,1830,550.0,8783
30,1,0,4.0,219,4,19,712,600.0,8783
31,1,0,2.8,506,1,78,2021,500.0,8783
32,1,0,3.9,35,1,39,263,500.0,2795
33,1,0,3.9,172,1,39,2236,750.0,8783
34,1,0,4.2,415,1,78,1817,500.0,2910
35,1,0,3.9,230,1,39,388,650.0,8783
36,1,0,2.8,91,1,78,1888,400.0,8783
37,1,0,4.2,1647,1,27,956,600.0,8783
38,1,0,4.4,4884,32,27,2113,750.0,8783
39,1,0,4.0,17,1,78,2381,150.0,878
40,1,0,3.8,133,4,78,2556,200.0,8783
41,0,0,3.9,28,1,65,2381,300.0,8783
42,1,0,3.9,286,1,78,535,500.0,8783
43,1,0,3.9,540,1,78,2252,800.0,8783
44,1,1,4.6,2556,1,29,2246,600.0,8783
45,0,0,3.8,36,1,39,1996,400.0,8783
46,1,0,3.6,244,49,78,1834,300.0,271
47,1,0,4.0,804,49,27,1866,450.0,8193
48,1,0,3.7,679,68,27,950,850.0,8783
49,1,0,3.1,245,49,78,1923,300.0,8148
50,0,0,3.7,21,1,78,1761,450.0,8783
51,1,0,4.1,28,87,78,1339,150.0,8642
52,0,0,4.3,345,1,40,1449,400.0,8783
53,1,0,4.0,618,32,27,472,750.0,8783
54,0,0,4.0,1047,1,78,1486,450.0,8783
55,1,0,3.9,627,1,39,1400,450.0,18
56,1,0,3.8,104,1,78,429,300.0,8783
57,1,1,4.2,354,1,27,218,800.0,8783
58,0,0,3.6,55,1,78,1238,200.0,8783
59,1,0,3.7,17,1,40,1159,400.0,8783
60,0,0,4.2,244,1,27,1507,800.0,8783
61,1,1,3.6,163,49,27,1387,800.0,8783
62,1,0,3.8,58,4,78,792,150.0,8783
63,0,1,4.0,808,1,27,1834,850.0,8783
64,0,0,3.7,78,1,3,254,150.0,8783
65,1,0,4.1,1720,4,78,2055,400.0,8783
66,1,0,3.6,34,32,78,2381,100.0,7687
67,0,0,4.1,868,1,73,1074,1200.0,8783
68,0,0,3.8,39,1,0,263,300.0,8783
69,1,0,3.2,71,4,78,536,600.0,8783
